action,records_after,records_before,records_removed,table_name
"Imputed NULL passenger_id -> 'ANONYMOUS_PAX', deduplicated ticket_id",2000000,2040000,40000,tickets
Converted negative boarded_count to absolute positive value,689564,689564,0,passenger_counts
Validated clean schema,500,500,0,stops
Validated clean schema,100,100,0,routes
Validated clean schema,1381,1381,0,route_stops
Validated clean schema,250,250,0,vehicles
Validated clean schema,50000,50000,0,passengers
Validated clean schema,3,3,0,service_calendar
Validated clean schema,50000,50000,0,trips
Validated clean schema,689564,689564,0,schedules
Validated clean schema,172226,172226,0,delays
Validated clean schema,689564,689564,0,gps_events
